sample,unmapped,Reads_pe,Bases_pe
EGAF00004983231,28.568506,14652520,2889365410
EGAF00004983232,29.786926,11724888,2311740384
EGAF00004983233,21.044302,12260731,2426015423
EGAF00004983234,24.814976,11187845,2201310613
EGAF00004983235,27.185417,11382479,2217855269
EGAF00004983236,30.095482,17360061,3379059629
EGAF00004983237,23.161936,13873727,2718739641
EGAF00004983238,20.045721,18058587,3561087636
EGAF00004983239,27.17095,9446002,1847043692
EGAF00004983240,23.5864,14033080,2782023200
EGAF00004983241,21.877502,17033900,3354106474
EGAF00004983242,24.419361,8433884,1654946507
EGAF00004983243,27.74688,12852926,2509783493
EGAF00004983244,21.526443,15297569,2954985102
EGAF00004983245,20.642735,14586778,2869283604
EGAF00004983246,21.576149,20610077,4084545680
EGAF00004983247,29.221266,11053239,2166898298
EGAF00004983248,23.42968,11729751,2304826412
EGAF00004983249,27.967913,10595277,2072677023
EGAF00004983250,22.398312,13657628,2679408309
EGAF00004983251,25.697672,9916605,1965270982
EGAF00004983252,20.56622,20954662,4100378566
EGAF00004983253,24.574875,17538874,3452658827
EGAF00004983254,25.384634,11980745,2363230730
EGAF00004983255,24.926794,11400083,2250939479
EGAF00004983256,29.502392,11177497,2215134682
EGAF00004983257,22.91416,11101340,2177876424
EGAF00004983258,21.07144,10604495,2103511445
EGAF00004983259,23.079628,15136064,2987161819
EGAF00004983260,27.22109,11308512,2211686140
EGAF00004983261,24.7207,11534326,2253640331
EGAF00004983262,32.6682,3940093,767948356
EGAF00004983263,25.219177,10518129,2058087964
EGAF00004983264,22.197496,10152675,2012055143
EGAF00004983265,23.265987,14650716,2886753126
EGAF00004983266,23.592018,13827921,2727891717
EGAF00004983267,22.32017,10733186,2130026338
EGAF00004983268,28.520542,11575684,2264269836
EGAF00004983269,27.699656,15897683,3111402239
EGAF00004983270,22.579998,14838850,2912252712
EGAF00004983271,25.556581,12044765,2367041415
EGAF00004983272,22.558617,12643470,2488725454
EGAF00004983273,22.152668,13198669,2614960537
EGAF00004983274,28.010447,7932620,1546483575
EGAF00004983275,28.355497,14792089,2888205097
EGAF00004983276,29.361265,8560869,1681252364
EGAF00004983277,22.888077,17057383,3352442587
EGAF00004983278,27.561934,13726348,2720237492
EGAF00004983279,22.022284,14413161,2840112015
EGAF00004983280,25.567966,11963974,2338750574
EGAF00004983281,26.37151,11069449,2162719628
EGAF00004983282,34.084106,9435911,1841612665
EGAF00004983283,24.956238,16250331,3182371670
